#   563 0.10247000000000E+01 2   1.0287 0.50000000000000E+01
   1 0.85616438356164E-04 0.41059711726304E-12 -.50117344764361E+01
   2 0.87731164383562E-04 0.44178005461757E-12 -.50117348097848E+01
   3 0.89898124143836E-04 0.47533119072745E-12 -.50117351641876E+01
   4 0.92118607810188E-04 0.51143037925052E-12 -.50117355340502E+01
   5 0.94393937423100E-04 0.55027116145448E-12 -.50108123453463E+01
   6 0.96725467677451E-04 0.59206172252705E-12 -.50108683412582E+01
   7 0.99114586729084E-04 0.63702608418831E-12 -.50108991294507E+01
   8 0.10156271702129E-03 0.68540528205551E-12 -.50109419992042E+01
   9 0.10407131613172E-03 0.73745865721368E-12 -.50109798015707E+01
  10 0.10664187764017E-03 0.79346524650925E-12 -.50110156500508E+01
  11 0.10927593201788E-03 0.85372527835191E-12 -.50110497274512E+01
  12 0.11197504753873E-03 0.91856178211652E-12 -.50110821400722E+01
  13 0.11474083121293E-03 0.98832231977137E-12 -.50111129661805E+01
  14 0.11757492974389E-03 0.10633808490156E-11 -.50111422832114E+01
  15 0.12047903050857E-03 0.11441397279136E-11 -.50111701591987E+01
  16 0.12345486256213E-03 0.12310318717717E-11 -.50111966848201E+01
  17 0.12650419766741E-03 0.13245230738201E-11 -.50112219112064E+01
  18 0.12962885134980E-03 0.14251145021397E-11 -.50112459119911E+01
  19 0.13283068397814E-03 0.15333453862193E-11 -.50112687358460E+01
  20 0.13611160187240E-03 0.16497959075439E-11 -.50112904443655E+01
  21 0.13947355843864E-03 0.17750903097104E-11 -.50113110933571E+01
  22 0.14291855533208E-03 0.19099002447422E-11 -.50113307387174E+01
  23 0.14644864364878E-03 0.20549483735405E-11 -.50113494180039E+01
  24 0.15006592514691E-03 0.22110122397740E-11 -.50113671794055E+01
  25 0.15377255349803E-03 0.23789284379720E-11 -.50113840730872E+01
  26 0.15757073556944E-03 0.25595970981654E-11 -.50114001288332E+01
  27 0.16146273273800E-03 0.27539867111157E-11 -.50114153958961E+01
  28 0.16545086223663E-03 0.29631393199970E-11 -.50114299021386E+01
  29 0.16953749853387E-03 0.31881761063635E-11 -.50114436910534E+01
  30 0.17372507474766E-03 0.34303034003448E-11 -.50114567923255E+01
  31 0.17801608409393E-03 0.36908191472878E-11 -.50114692364250E+01
  32 0.18241308137105E-03 0.39711198655108E-11 -.50114810528174E+01
  33 0.18691868448091E-03 0.42727081324662E-11 -.50114922723573E+01
  34 0.19153557598759E-03 0.45972006394436E-11 -.50115029198291E+01
  35 0.19626650471449E-03 0.49463368579899E-11 -.50115130249521E+01
  36 0.20111428738093E-03 0.53219883645041E-11 -.50115226072363E+01
  37 0.20608181027924E-03 0.57261688729926E-11 -.50115316901960E+01
  38 0.21117203099314E-03 0.61610450297654E-11 -.50115402978397E+01
  39 0.21638798015867E-03 0.66289480279401E-11 -.50115484508435E+01
  40 0.22173276326859E-03 0.71323861040141E-11 -.50115561657499E+01
  41 0.22720956252132E-03 0.76740579834932E-11 -.50115634641628E+01
  42 0.23282163871560E-03 0.82568673476546E-11 -.50115703612659E+01
  43 0.23857233319188E-03 0.88839383989933E-11 -.50115768761141E+01
  44 0.24446506982171E-03 0.95586326087926E-11 -.50115830223593E+01
  45 0.25050335704631E-03 0.10284566736595E-10 -.50115888142540E+01
  46 0.25669078996536E-03 0.11065632218171E-10 -.50115942682935E+01
  47 0.26303105247750E-03 0.11906016025909E-10 -.50115993957649E+01
  48 0.26952791947369E-03 0.12810223113463E-10 -.50116042092489E+01
  49 0.27618525908469E-03 0.13783100564966E-10 -.50116087196167E+01
  50 0.28300703498409E-03 0.14829863578257E-10 -.50116129384214E+01
  51 0.28999730874819E-03 0.15956123421427E-10 -.50116168763138E+01
  52 0.29716024227427E-03 0.17167917512525E-10 -.50116205429106E+01
  53 0.30450010025845E-03 0.18471741783686E-10 -.50116239453029E+01
  54 0.31202125273483E-03 0.19874585503161E-10 -.50116270915693E+01
  55 0.31972817767738E-03 0.21383968741922E-10 -.50116299918441E+01
  56 0.32762546366601E-03 0.23007982685680E-10 -.50116326508846E+01
  57 0.33571781261856E-03 0.24755333008419E-10 -.50116350763107E+01
  58 0.34401004259024E-03 0.26635386539947E-10 -.50116372729608E+01
  59 0.35250709064222E-03 0.28658221477634E-10 -.50116392466189E+01
  60 0.36121401578108E-03 0.30834681411493E-10 -.50116410023383E+01
  61 0.37013600197088E-03 0.33176433452231E-10 -.50116425431608E+01
  62 0.37927836121956E-03 0.35696030773839E-10 -.50116438740648E+01
  63 0.38864653674168E-03 0.38406979906021E-10 -.50116449981047E+01
  64 0.39824610619920E-03 0.41323813137159E-10 -.50116459169956E+01
  65 0.40808278502232E-03 0.44462166415952E-10 -.50116466342108E+01
  66 0.41816242981237E-03 0.47838863169332E-10 -.50116471508508E+01
  67 0.42849104182874E-03 0.51472004485955E-10 -.50116474686079E+01
  68 0.43907477056191E-03 0.55381066148712E-10 -.50116475871495E+01
  69 0.44991991739479E-03 0.59587003036421E-10 -.50116475077360E+01
  70 0.46103293935444E-03 0.64112361454331E-10 -.50116472301464E+01
  71 0.47242045295649E-03 0.68981399995618E-10 -.50116467537683E+01
  72 0.48408923814452E-03 0.74220219581753E-10 -.50116460774675E+01
  73 0.49604624232669E-03 0.79856903378830E-10 -.50116451991428E+01
  74 0.50829858451216E-03 0.85921667339895E-10 -.50116441173308E+01
  75 0.52085355954961E-03 0.92447022180269E-10 -.50116428293403E+01
