#   511 0.10247000000000E+01 1   1.9910 0.20000000000000E+01
   1 0.31250000000000E-03 0.47143196019398E-08 0.20020559104256E+00
   2 0.32021875000000E-03 0.49500831495215E-08 0.20020549064008E+00
   3 0.32812815312500E-03 0.51976372533366E-08 0.20020538649407E+00
   4 0.33623291850719E-03 0.54575715601633E-08 0.20020527846227E+00
   5 0.34453787159431E-03 0.57305052453427E-08 0.20020516915211E+00
   6 0.35304795702269E-03 0.60170883717470E-08 0.20020505579025E+00
   7 0.36176824156116E-03 0.63180035488051E-08 0.20020493817384E+00
   8 0.37070391712772E-03 0.66339675239215E-08 0.20020481614681E+00
   9 0.37986030388077E-03 0.69657328890165E-08 0.20020468954548E+00
  10 0.38924285338663E-03 0.73140898732123E-08 0.20020455819103E+00
  11 0.39885715186527E-03 0.76798682250739E-08 0.20020442190764E+00
  12 0.40870892351635E-03 0.80639391889811E-08 0.20020428050428E+00
  13 0.41880403392720E-03 0.84672175803394E-08 0.20020413378926E+00
  14 0.42914849356520E-03 0.88906639645719E-08 0.20020398156118E+00
  15 0.43974846135626E-03 0.93352869450830E-08 0.20020382361430E+00
  16 0.45061024835176E-03 0.98021455656441E-08 0.20020365973015E+00
  17 0.46174032148605E-03 0.10292351832922E-07 0.20020348968794E+00
  18 0.47314530742676E-03 0.10807073365161E-07 0.20020331325384E+00
  19 0.48483199652020E-03 0.11347536173323E-07 0.20020313019078E+00
  20 0.49680734683425E-03 0.11915027581316E-07 0.20020294024824E+00
  21 0.50907848830105E-03 0.12510899292263E-07 0.20020274316930E+00
  22 0.52165272696209E-03 0.13136570608111E-07 0.20020253868554E+00
  23 0.53453754931805E-03 0.13793531810264E-07 0.20020232652346E+00
  24 0.54774062678621E-03 0.14483347709267E-07 0.20020210639302E+00
  25 0.56126982026783E-03 0.15207661372025E-07 0.20020187799622E+00
  26 0.57513318482844E-03 0.15968198035410E-07 0.20020164102447E+00
  27 0.58933897449370E-03 0.16766769215596E-07 0.20020139516008E+00
  28 0.60389564716370E-03 0.17605277022895E-07 0.20020114006988E+00
  29 0.61881186964864E-03 0.18485718692384E-07 0.20020087540894E+00
  30 0.63409652282896E-03 0.19410191341110E-07 0.20020060082011E+00
  31 0.64975870694284E-03 0.20380896963202E-07 0.20020031593528E+00
  32 0.66580774700433E-03 0.21400147674786E-07 0.20020002036775E+00
  33 0.68225319835533E-03 0.22470371221207E-07 0.20019971372244E+00
  34 0.69910485235471E-03 0.23594116759661E-07 0.20019939558652E+00
  35 0.71637274220787E-03 0.24774060931023E-07 0.20019906552921E+00
  36 0.73406714894041E-03 0.26013014235324E-07 0.20019872310785E+00
  37 0.75219860751923E-03 0.27313927726073E-07 0.20019836786389E+00
  38 0.77077791312496E-03 0.28679900039354E-07 0.20019799931770E+00
  39 0.78981612757915E-03 0.30114184774462E-07 0.20019761697436E+00
  40 0.80932458593035E-03 0.31620198243636E-07 0.20019722032129E+00
  41 0.82931490320283E-03 0.33201527609365E-07 0.20019680882624E+00
  42 0.84979898131194E-03 0.34861939428638E-07 0.20019638193529E+00
  43 0.87078901615035E-03 0.36605388624496E-07 0.20019593907640E+00
  44 0.89229750484926E-03 0.38436027906256E-07 0.20019547965591E+00
  45 0.91433725321904E-03 0.40358217660842E-07 0.20019500305653E+00
  46 0.93692138337355E-03 0.42376536338779E-07 0.20019450864057E+00
  47 0.96006334154287E-03 0.44495791359605E-07 0.20019399574401E+00
  48 0.98377690607898E-03 0.46721030562654E-07 0.20019346367842E+00
  49 0.10080761956591E-02 0.49057554230506E-07 0.20019291173353E+00
  50 0.10329756776919E-02 0.51510927713726E-07 0.20019233916815E+00
  51 0.10584901769309E-02 0.54086994686979E-07 0.20019174521527E+00
  52 0.10846348843011E-02 0.56791891068078E-07 0.20019112907886E+00
  53 0.11114253659433E-02 0.59632059633143E-07 0.20019048993401E+00
  54 0.11388775724821E-02 0.62614265362651E-07 0.20018982692593E+00
  55 0.11670078485224E-02 0.65745611554967E-07 0.20018913916688E+00
  56 0.11958329423809E-02 0.69033556745707E-07 0.20018842573527E+00
  57 0.12253700160578E-02 0.72485932473253E-07 0.20018768567567E+00
  58 0.12556366554544E-02 0.76110961932722E-07 0.20018691799951E+00
  59 0.12866508808441E-02 0.79917279562837E-07 0.20018612167826E+00
  60 0.13184311576010E-02 0.83913951612343E-07 0.20018529564621E+00
  61 0.13509964071937E-02 0.88110497734960E-07 0.20018443879908E+00
  62 0.13843660184514E-02 0.92516913664312E-07 0.20018354999021E+00
  63 0.14185598591071E-02 0.97143695022840E-07 0.20018262803100E+00
  64 0.14535982876271E-02 0.10200186232142E-06 0.20018167168720E+00
  65 0.14895021653315E-02 0.10710298720920E-06 0.20018067968075E+00
  66 0.15262928688152E-02 0.11245922003628E-06 0.20017965068515E+00
  67 0.15639923026749E-02 0.11808331879469E-06 0.20017858332335E+00
  68 0.16026229125510E-02 0.12398867950689E-06 0.20017747616854E+00
  69 0.16422076984910E-02 0.13018936813387E-06 0.20017632774036E+00
  70 0.16827702286437E-02 0.13670015407909E-06 0.20017513650335E+00
  71 0.17243346532912E-02 0.14353654536795E-06 0.20017390086394E+00
  72 0.17669257192275E-02 0.15071482558664E-06 0.20017261917086E+00
  73 0.18105687844924E-02 0.15825209266823E-06 0.20017128971001E+00
  74 0.18552898334694E-02 0.16616629961867E-06 0.20016991070343E+00
  75 0.19011154923561E-02 0.17447629727936E-06 0.20016848030806E+00
  76 0.19480730450173E-02 0.18320187922838E-06 0.20016699661076E+00
