#   567 0.10247000000000E+01 2   0.7177 0.12000000000000E+02
   1 0.78125000000000E-04 0.81643143142410E-12 -.44297706047978E+01
   2 0.80054687500000E-04 0.87843559343592E-12 -.44297707211981E+01
   3 0.82032038281250E-04 0.94514868256497E-12 -.44297708420641E+01
   4 0.84058229626797E-04 0.10169283198785E-11 -.44297709674483E+01
   5 0.86134467898579E-04 0.10941593429094E-11 -.44297710769830E+01
   6 0.88261989255674E-04 0.11772557071880E-11 -.44297711911280E+01
   7 0.90442060390289E-04 0.12666628575693E-11 -.44297713103424E+01
   8 0.92675979281929E-04 0.13628600693583E-11 -.44297714348419E+01
   9 0.94965075970193E-04 0.14663630164571E-11 -.44297715648085E+01
  10 0.97310713346656E-04 0.15777265358277E-11 -.44297717003494E+01
  11 0.99714287966319E-04 0.16975476017446E-11 -.44297718417488E+01
  12 0.10217723087909E-03 0.18264685259303E-11 -.44297719892127E+01
  13 0.10470100848180E-03 0.19651804007260E-11 -.44297721430320E+01
  14 0.10728712339130E-03 0.21144268037550E-11 -.44297723033497E+01
  15 0.10993711533907E-03 0.22750077839380E-11 -.44297724703979E+01
  16 0.11265256208794E-03 0.24477841502289E-11 -.44297726445610E+01
  17 0.11543508037151E-03 0.26336820860590E-11 -.44297728260105E+01
  18 0.11828632685669E-03 0.28336981142282E-11 -.44297730150029E+01
  19 0.12120799913005E-03 0.30489044388563E-11 -.44297732118718E+01
  20 0.12420183670856E-03 0.32804546930309E-11 -.44297734168902E+01
  21 0.12726962207526E-03 0.35295901229626E-11 -.44297736303432E+01
  22 0.13041318174052E-03 0.37976462417993E-11 -.44297738525889E+01
  23 0.13363438732951E-03 0.40860599887654E-11 -.44297740839919E+01
  24 0.13693515669655E-03 0.43963774320066E-11 -.44297743248065E+01
  25 0.14031745506696E-03 0.47302620564287E-11 -.44297745754781E+01
  26 0.14378329620711E-03 0.50895036809608E-11 -.44297748362868E+01
  27 0.14733474362343E-03 0.54760280530431E-11 -.44297751076964E+01
  28 0.15097391179092E-03 0.58919071717719E-11 -.44297753900687E+01
  29 0.15470296741216E-03 0.63393703950405E-11 -.44297756838327E+01
  30 0.15852413070724E-03 0.68208163902158E-11 -.44297759893782E+01
  31 0.16243967673571E-03 0.73388259924143E-11 -.44297763072106E+01
  32 0.16645193675108E-03 0.78961760393047E-11 -.44297766377465E+01
  33 0.17056329958883E-03 0.84958542566009E-11 -.44297769815150E+01
  34 0.17477621308868E-03 0.91410752740387E-11 -.44297773389630E+01
  35 0.17909318555197E-03 0.98352978576934E-11 -.44297777106466E+01
  36 0.18351678723510E-03 0.10582243451012E-10 -.44297780970901E+01
  37 0.18804965187981E-03 0.11385916123953E-10 -.44297784988770E+01
  38 0.19269447828124E-03 0.12250624037169E-10 -.44297789165217E+01
  39 0.19745403189479E-03 0.13181002536298E-10 -.44297793506832E+01
  40 0.20233114648259E-03 0.14182039000161E-10 -.44297798019928E+01
  41 0.20732872580071E-03 0.15259099576062E-10 -.44297802710990E+01
  42 0.21244974532799E-03 0.16417957945514E-10 -.44297807586304E+01
  43 0.21769725403759E-03 0.17664826274591E-10 -.44297812653131E+01
  44 0.22307437621231E-03 0.19006388514816E-10 -.44297817918896E+01
  45 0.22858431330476E-03 0.20449836233097E-10 -.44297823391213E+01
  46 0.23423034584339E-03 0.22002907162785E-10 -.44297829077550E+01
  47 0.24001583538572E-03 0.23673926682508E-10 -.44297834986626E+01
  48 0.24594422651975E-03 0.25471852445130E-10 -.44297841126343E+01
  49 0.25201904891478E-03 0.27406322396076E-10 -.44297847505519E+01
  50 0.25824391942298E-03 0.29487706438431E-10 -.44297854133818E+01
  51 0.26462254423273E-03 0.31727162021764E-10 -.44297861020485E+01
  52 0.27115872107527E-03 0.34136693952667E-10 -.44297868175028E+01
  53 0.27785634148583E-03 0.36729218747637E-10 -.44297875608104E+01
  54 0.28471939312053E-03 0.39518633873257E-10 -.44297883330305E+01
  55 0.29175196213061E-03 0.42519892244859E-10 -.44297891352489E+01
  56 0.29895823559524E-03 0.45749082383014E-10 -.44297899686069E+01
  57 0.30634250401444E-03 0.49223514657546E-10 -.44297908343265E+01
  58 0.31390916386360E-03 0.52961814081379E-10 -.44297917336296E+01
  59 0.32166272021103E-03 0.56984020151658E-10 -.44297926677937E+01
  60 0.32960778940024E-03 0.61311694273344E-10 -.44297936381758E+01
  61 0.33774910179842E-03 0.65968035341145E-10 -.44297946461375E+01
  62 0.34609150461285E-03 0.70978004099356E-10 -.44297956931442E+01
  63 0.35463996477678E-03 0.76368456946278E-10 -.44297967807134E+01
  64 0.36339957190677E-03 0.82168289900459E-10 -.44297979103498E+01
  65 0.37237554133287E-03 0.88408593500523E-10 -.44297990837042E+01
  66 0.38157321720379E-03 0.95122819468929E-10 -.44298003024587E+01
  67 0.39099807566872E-03 0.10234696003309E-09 -.44298015683713E+01
  68 0.40065572813774E-03 0.11011974086512E-09 -.44298028832549E+01
  69 0.41055192462274E-03 0.11848282867445E-09 -.44298042489787E+01
  70 0.42069255716092E-03 0.12748105456619E-09 -.44298056675081E+01
  71 0.43108366332280E-03 0.13716265436257E-09 -.44298071409017E+01
  72 0.44173142980687E-03 0.14757952717560E-09 -.44298086712912E+01
  73 0.45264219612310E-03 0.15878751361728E-09 -.44298102608464E+01
  74 0.46382245836734E-03 0.17084669513852E-09 -.44298119118838E+01
  75 0.47527887308901E-03 0.18382171610155E-09 -.44298136267917E+01
  76 0.48701826125431E-03 0.19778213031225E-09 -.44298154080314E+01
