  8.561643835616400E-005 -1.709655868507490E-012
  8.773116438356200E-005 -1.839496270126810E-012
  8.989812414383600E-005 -1.979197445851123E-012
  9.211860781018801E-005 -2.129508275613037E-012
  9.439393742310000E-005 -2.291234632571768E-012
  9.672546767745100E-005 -2.465243364066424E-012
  9.911458672908401E-005 -2.652467258335419E-012
  1.015627170212900E-004 -2.853909946482028E-012
  1.040713161317200E-004 -3.070651280713023E-012
  1.066418776401700E-004 -3.303853122973848E-012
  1.092759320178800E-004 -3.554765573048935E-012
  1.119750475387300E-004 -3.824733670399449E-012
  1.147408312129300E-004 -4.115204603859758E-012
  1.175749297438900E-004 -4.427735469827170E-012
  1.204790305085700E-004 -4.764001618821015E-012
  1.234548625621300E-004 -5.125805636524074E-012
  1.265041976674100E-004 -5.515087007033237E-012
  1.296288513498000E-004 -5.933932508969417E-012
  1.328306839781400E-004 -6.384587402516596E-012
  1.361116018724000E-004 -6.869467465236294E-012
  1.394735584386400E-004 -7.391171941357969E-012
  1.429185553320800E-004 -7.952497476368312E-012
  1.464486436487800E-004 -8.556453107814639E-012
  1.500659251469100E-004 -9.206276396259747E-012
  1.537725534980300E-004 -9.905450779806247E-012
  1.575707355694400E-004 -1.065772424769459E-011
  1.614627327380000E-004 -1.146712943222018E-011
  1.654508622366300E-004 -1.233800522543533E-011
  1.695374985338700E-004 -1.327502003837274E-011
  1.737250747476600E-004 -1.428319682631180E-011
  1.780160840939300E-004 -1.536794001564327E-011
  1.824130813710500E-004 -1.653506447365959E-011
  1.869186844809100E-004 -1.779082668086573E-011
  1.915355759875900E-004 -1.914195826823311E-011
  1.962665047144900E-004 -2.059570210367824E-011
  2.011142873809300E-004 -2.215985111825886E-011
  2.060818102792400E-004 -2.384279007998168E-011
  2.111720309931400E-004 -2.565354054240893E-011
  2.163879801586700E-004 -2.760180920423574E-011
  2.217327632685900E-004 -2.969803994421930E-011
  2.272095625213200E-004 -3.195346980621700E-011
  2.328216387156000E-004 -3.438018923630759E-011
  2.385723331918800E-004 -3.699120689470820E-011
  2.444650698217100E-004 -3.980051939042607E-011
  2.505033570463100E-004 -4.282318631144277E-011
  2.566907899653600E-004 -4.607541095328869E-011
  2.630310524775000E-004 -4.957462717700721E-011
  2.695279194736900E-004 -5.333959286791378E-011
  2.761852590846900E-004 -5.739049048642002E-011
  2.830070349840900E-004 -6.174903525997430E-011
  2.899973087481900E-004 -6.643859158927423E-011
  2.971602422742700E-004 -7.148429829545743E-011
  3.045001002584500E-004 -7.691320337829798E-011
  3.120212527348300E-004 -8.275440901171942E-011
  3.197281776773800E-004 -8.903922754950086E-011
  3.276254636660100E-004 -9.580134937535788E-011
  3.357178126185600E-004 -1.030770235070384E-010
  3.440100425902400E-004 -1.109052519113461E-010
  3.525070906422200E-004 -1.193279985783466E-010
  3.612140157810800E-004 -1.283904144746586E-010
  3.701360019708800E-004 -1.381410795819494E-010
  3.792783612195600E-004 -1.486322633100367E-010
  3.886465367416800E-004 -1.599202046974227E-010
  3.982461061992000E-004 -1.720654138857132E-010
  4.080827850223200E-004 -1.851329964918599E-010
  4.181624298123700E-004 -1.991930026108340E-010
  4.284910418287400E-004 -2.143208023309499E-010
  4.390747705619100E-004 -2.305974897628493E-010
  4.499199173947900E-004 -2.481103177546033E-010
  4.610329393544400E-004 -2.669531656164305E-010
  4.724204529564900E-004 -2.872270423778031E-010
  4.840892381445200E-004 -3.090406282538552E-010
  4.960462423266900E-004 -3.325108572448589E-010
  5.082985845121600E-004 -3.577635439685171E-010
  5.208535595496100E-004 -3.849340581030704E-010
  5.337186424704800E-004 -4.141680500625267E-010
  5.469014929395000E-004 -4.456222317692961E-010
  5.604099598151100E-004 -4.794652167236093E-010
  5.742520858225400E-004 -5.158784238873489E-010
  5.884361123423600E-004 -5.550570501940443E-010
  6.029704843172100E-004 -5.972111169301605E-010
  6.178638552798501E-004 -6.425665955909019E-010
  6.331250925052600E-004 -6.913666192253899E-010
  6.487632822901399E-004 -7.438727857716630E-010
  6.647877353627100E-004 -8.003665604105593E-010
  6.812079924261700E-004 -8.611507843888387E-010
  6.980338298390901E-004 -9.265512984389199E-010
  7.152752654361200E-004 -9.969186894984441E-010
  7.329425644923900E-004 -1.072630170086691E-009
  7.510462458353500E-004 -1.154091600409955E-009
  7.695970881074800E-004 -1.241739664021026E-009
  7.886061361837400E-004 -1.336044208748835E-009
  8.080847077474800E-004 -1.437510765380001E-009
  8.280444000288400E-004 -1.546683257632584E-009
  8.484970967095500E-004 -1.664146917969258E-009
  8.694549749982800E-004 -1.790531424801000E-009
  8.909305128807400E-004 -1.926514278011383E-009
  9.129364965488900E-004 -2.072824430787694E-009
  9.354860280136500E-004 -2.230246197324462E-009
  9.585925329055800E-004 -2.399623457274993E-009
  9.822697684683500E-004 -2.581864179501737E-009
  1.006531831749500E-003 -2.777945289431228E-009
  1.031393167993700E-003 -2.988917906035743E-009
  1.056868579243200E-003 -3.215912976584696E-009
  1.082973233150500E-003 -3.460147339290357E-009
  1.109722672009300E-003 -3.722930246413535E-009
  1.137132822007900E-003 -4.005670382793389E-009
  1.165220002711500E-003 -4.309883417410806E-009
  1.194000936778500E-003 -4.637200128444361E-009
  1.223492759916900E-003 -4.989375145410485E-009
  1.253713031086900E-003 -5.368296355328714E-009
  1.284679742954700E-003 -5.775995023092163E-009
  1.316411332605700E-003 -6.214656680601349E-009
  1.348926692521100E-003 -6.686632842862188E-009
  1.382245181826300E-003 -7.194453613866857E-009
  1.416386637817400E-003 -7.740841249875692E-009
